Timestamp,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
2/25/2020 2:09:19,Guard,Defender,Caster,Vanguard,Defense
2/25/2020 2:09:38,Defender,Caster,Ranged,DP-Recovery,Slow
2/25/2020 2:47:59,Guard,Sniper,Melee,DPS,DP-Recovery
2/25/2020 2:49:29,Caster,Vanguard,Ranged,Melee,DP-Recovery
2/25/2020 2:54:23,Guard,Vanguard,DP-Recovery,Survival,DPS
2/25/2020 3:03:58,Guard,Vanguard,Ranged,Healing,DP-Recovery
2/25/2020 3:04:20,Guard,Supporter,Caster,Ranged,Starter
2/25/2020 3:04:43,Supporter,Vanguard,Ranged,Survival,AoE
2/25/2020 3:09:59,Sniper,Medic,Supporter,Caster,Defense
2/25/2020 3:10:27,Defender,Caster,Melee,Ranged,Defense
2/25/2020 3:16:48,Guard,Defender,Vanguard,Ranged,DP-Recovery
2/25/2020 3:18:49,Sniper,Melee,Starter,DP-Recovery,DPS
2/25/2020 3:17:15,Sniper,Supporter,Caster,Healing,Starter
